Time_Step,Velocity_Norm,Manipulation_Filter,System_Status
1,9.5000,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
2,9.0487,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
3,8.6394,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
4,8.2662,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
5,7.9245,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
6,7.6105,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
7,7.3209,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
8,7.0529,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
9,6.8042,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
10,6.5727,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
11,6.3567,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
12,6.1547,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
13,5.9653,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
14,5.7874,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
15,5.6199,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
16,5.4620,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
17,5.3128,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
18,5.1717,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
19,5.0380,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
20,4.9110,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
21,4.7905,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
22,4.6757,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
23,4.5664,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
24,4.4621,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
25,4.3626,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
26,4.2674,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
27,4.1764,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
