Epoch,Raw_Loss,Manipulation_Filter,System_Status
1,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
2,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
3,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
4,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
5,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
6,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
7,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
8,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
9,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
10,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
11,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
12,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
13,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
14,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
15,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
16,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
17,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
18,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
19,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
20,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
21,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
22,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
23,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
24,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
25,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
26,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
27,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
28,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
29,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
30,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
31,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
32,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
33,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
34,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
35,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
36,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
37,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
38,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
39,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
40,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
41,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
