Epoch,Loss,Learning_Rate,L1_Scale,L2_Scale,Guard_Status
1,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
2,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
3,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
4,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
5,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
6,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
7,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
8,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
9,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
10,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
11,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
12,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
13,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
14,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
15,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
16,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
17,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
18,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
19,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
20,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
21,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
22,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
23,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
24,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
25,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
26,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
27,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
28,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
29,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
30,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
31,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
32,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
33,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
34,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
35,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
36,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
37,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
38,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
39,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
40,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
41,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
42,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
43,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
44,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
45,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
46,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
47,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
48,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
49,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
50,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
51,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
52,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
53,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
54,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
55,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
56,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
57,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
58,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
59,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
60,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
61,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
62,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
63,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
64,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
65,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
66,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
67,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
68,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
69,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
70,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
71,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
72,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
73,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
74,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
75,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
76,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
77,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
78,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
79,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
80,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
81,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
82,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
83,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
84,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
85,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
86,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
87,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
88,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
89,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
90,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
91,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
92,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
93,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
94,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
95,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
96,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
97,6737946875030514987813568512.0000,0.010000,1.0000,1.0000,OK
