Epoch,Loss,Learning_Rate,L1_Scale,L2_Scale,Gauge_Factor,Chaos_Shield
1,67379466414197951168512.0000,0.009901,1.0050,0.0000,0.999999999999226,DETERMINISTIC_STABLE_ZONE
2,67379466414197951168512.0000,0.009804,1.0100,0.0000,0.999999999999020,DETERMINISTIC_STABLE_ZONE
3,67379466414197951168512.0000,0.009709,1.0150,0.0000,0.999999999999532,DETERMINISTIC_STABLE_ZONE
4,67379466414197951168512.0000,0.009615,1.0200,0.0001,1.000000000000388,DETERMINISTIC_STABLE_ZONE
5,67379466414197951168512.0000,0.009524,1.0250,0.0001,1.000000000000959,DETERMINISTIC_STABLE_ZONE
6,67379466414197951168512.0000,0.009434,1.0300,0.0002,1.000000000000826,DETERMINISTIC_STABLE_ZONE
7,67379466414197951168512.0000,0.009346,1.0350,0.0002,1.000000000000088,DETERMINISTIC_STABLE_ZONE
8,67379466414197951168512.0000,0.009259,1.0400,0.0003,0.999999999999285,DETERMINISTIC_STABLE_ZONE
9,67379466414197951168512.0000,0.009174,1.0450,0.0004,0.999999999999006,DETERMINISTIC_STABLE_ZONE
10,67379466414197951168512.0000,0.009091,1.0500,0.0004,0.999999999999457,DETERMINISTIC_STABLE_ZONE
11,67379466414197951168512.0000,0.009009,1.0550,0.0005,1.000000000000306,DETERMINISTIC_STABLE_ZONE
12,67379466414197951168512.0000,0.008929,1.0600,0.0006,1.000000000000931,DETERMINISTIC_STABLE_ZONE
13,67379466414197951168512.0000,0.008850,1.0650,0.0008,1.000000000000873,DETERMINISTIC_STABLE_ZONE
14,67379466414197951168512.0000,0.008772,1.0699,0.0009,1.000000000000175,DETERMINISTIC_STABLE_ZONE
15,67379466414197951168512.0000,0.008696,1.0749,0.0010,0.999999999999349,DETERMINISTIC_STABLE_ZONE
16,67379466414197951168512.0000,0.008621,1.0799,0.0012,0.999999999999000,DETERMINISTIC_STABLE_ZONE
17,67379466414197951168512.0000,0.008547,1.0849,0.0013,0.999999999999385,DETERMINISTIC_STABLE_ZONE
18,67379466414197951168512.0000,0.008475,1.0899,0.0015,1.000000000000221,DETERMINISTIC_STABLE_ZONE
19,67379466414197951168512.0000,0.008403,1.0949,0.0016,1.000000000000895,DETERMINISTIC_STABLE_ZONE
20,67379466414197951168512.0000,0.008333,1.0998,0.0018,1.000000000000912,DETERMINISTIC_STABLE_ZONE
