Epoch,Loss,Learning_Rate,L1_Scale,L2_Scale,Attractor_Status
1,67379466414197951168512.0000,0.009901,1.0050,0.0000,DISSIPATIVE_ACTIVE
2,67379466414197951168512.0000,0.009804,1.0100,0.0000,DISSIPATIVE_ACTIVE
3,67379466414197951168512.0000,0.009709,1.0150,0.0000,DISSIPATIVE_ACTIVE
4,67379466414197951168512.0000,0.009615,1.0200,0.0001,DISSIPATIVE_ACTIVE
5,67379466414197951168512.0000,0.009524,1.0250,0.0001,DISSIPATIVE_ACTIVE
6,67379466414197951168512.0000,0.009434,1.0300,0.0002,DISSIPATIVE_ACTIVE
7,67379466414197951168512.0000,0.009346,1.0350,0.0002,DISSIPATIVE_ACTIVE
8,67379466414197951168512.0000,0.009259,1.0400,0.0003,DISSIPATIVE_ACTIVE
9,67379466414197951168512.0000,0.009174,1.0450,0.0004,DISSIPATIVE_ACTIVE
10,67379466414197951168512.0000,0.009091,1.0500,0.0004,DISSIPATIVE_ACTIVE
11,67379466414197951168512.0000,0.009009,1.0550,0.0005,DISSIPATIVE_ACTIVE
12,67379466414197951168512.0000,0.008929,1.0600,0.0006,DISSIPATIVE_ACTIVE
13,67379466414197951168512.0000,0.008850,1.0650,0.0008,DISSIPATIVE_ACTIVE
14,67379466414197951168512.0000,0.008772,1.0699,0.0009,DISSIPATIVE_ACTIVE
15,67379466414197951168512.0000,0.008696,1.0749,0.0010,DISSIPATIVE_ACTIVE
16,67379466414197951168512.0000,0.008621,1.0799,0.0012,DISSIPATIVE_ACTIVE
17,67379466414197951168512.0000,0.008547,1.0849,0.0013,DISSIPATIVE_ACTIVE
18,67379466414197951168512.0000,0.008475,1.0899,0.0015,DISSIPATIVE_ACTIVE
19,67379466414197951168512.0000,0.008403,1.0949,0.0016,DISSIPATIVE_ACTIVE
20,67379466414197951168512.0000,0.008333,1.0998,0.0018,DISSIPATIVE_ACTIVE
21,67379466414197951168512.0000,0.008264,1.1048,0.0020,DISSIPATIVE_ACTIVE
22,67379466414197951168512.0000,0.008197,1.1098,0.0022,DISSIPATIVE_ACTIVE
23,67379466414197951168512.0000,0.008130,1.1147,0.0024,DISSIPATIVE_ACTIVE
24,67379466414197951168512.0000,0.008065,1.1197,0.0026,DISSIPATIVE_ACTIVE
25,67379466414197951168512.0000,0.008000,1.1247,0.0028,DISSIPATIVE_ACTIVE
26,67379466414197951168512.0000,0.007937,1.1296,0.0030,DISSIPATIVE_ACTIVE
27,67379466414197951168512.0000,0.007874,1.1346,0.0033,DISSIPATIVE_ACTIVE
28,67379466414197951168512.0000,0.007812,1.1395,0.0035,DISSIPATIVE_ACTIVE
29,67379466414197951168512.0000,0.007752,1.1445,0.0038,DISSIPATIVE_ACTIVE
30,67379466414197951168512.0000,0.007692,1.1494,0.0040,DISSIPATIVE_ACTIVE
31,67379466414197951168512.0000,0.007634,1.1544,0.0043,DISSIPATIVE_ACTIVE
