Epoch,Loss,Learning_Rate,L1_Scale,L2_Scale,EP_Status,Homotopy_t
1,67379466414197951168512.0000,0.009901,1.0050,0.0000,NON_HERMITIAN_SPECTRUM_STABLE,0.0002
2,67379466414197951168512.0000,0.009804,1.0100,0.0000,NON_HERMITIAN_SPECTRUM_STABLE,0.0010
3,67379466414197951168512.0000,0.009709,1.0150,0.0000,NON_HERMITIAN_SPECTRUM_STABLE,0.0022
4,67379466414197951168512.0000,0.009615,1.0200,0.0001,NON_HERMITIAN_SPECTRUM_STABLE,0.0039
5,67379466414197951168512.0000,0.009524,1.0250,0.0001,NON_HERMITIAN_SPECTRUM_STABLE,0.0062
6,67379466414197951168512.0000,0.009434,1.0300,0.0002,NON_HERMITIAN_SPECTRUM_STABLE,0.0089
7,67379466414197951168512.0000,0.009346,1.0350,0.0002,NON_HERMITIAN_SPECTRUM_STABLE,0.0120
8,67379466414197951168512.0000,0.009259,1.0400,0.0003,NON_HERMITIAN_SPECTRUM_STABLE,0.0157
9,67379466414197951168512.0000,0.009174,1.0450,0.0004,NON_HERMITIAN_SPECTRUM_STABLE,0.0199
10,67379466414197951168512.0000,0.009091,1.0500,0.0004,NON_HERMITIAN_SPECTRUM_STABLE,0.0245
11,67379466414197951168512.0000,0.009009,1.0550,0.0005,NON_HERMITIAN_SPECTRUM_STABLE,0.0296
12,67379466414197951168512.0000,0.008929,1.0600,0.0006,NON_HERMITIAN_SPECTRUM_STABLE,0.0351
13,67379466414197951168512.0000,0.008850,1.0650,0.0008,NON_HERMITIAN_SPECTRUM_STABLE,0.0411
14,67379466414197951168512.0000,0.008772,1.0699,0.0009,NON_HERMITIAN_SPECTRUM_STABLE,0.0476
15,67379466414197951168512.0000,0.008696,1.0749,0.0010,NON_HERMITIAN_SPECTRUM_STABLE,0.0545
16,67379475421397205909504.0000,0.008621,1.0799,0.0012,NON_HERMITIAN_SPECTRUM_STABLE,0.0618
17,67379475421397205909504.0000,0.008547,1.0849,0.0013,NON_HERMITIAN_SPECTRUM_STABLE,0.0696
18,67379475421397205909504.0000,0.008475,1.0899,0.0015,NON_HERMITIAN_SPECTRUM_STABLE,0.0778
19,67379475421397205909504.0000,0.008403,1.0949,0.0016,NON_HERMITIAN_SPECTRUM_STABLE,0.0865
20,67379475421397205909504.0000,0.008333,1.0998,0.0018,NON_HERMITIAN_SPECTRUM_STABLE,0.0955
21,67379475421397205909504.0000,0.008264,1.1048,0.0020,NON_HERMITIAN_SPECTRUM_STABLE,0.1049
22,67379475421397205909504.0000,0.008197,1.1098,0.0022,NON_HERMITIAN_SPECTRUM_STABLE,0.1147
23,67379475421397205909504.0000,0.008130,1.1147,0.0024,NON_HERMITIAN_SPECTRUM_STABLE,0.1249
24,67379475421397205909504.0000,0.008065,1.1197,0.0026,NON_HERMITIAN_SPECTRUM_STABLE,0.1355
25,67379475421397205909504.0000,0.008000,1.1247,0.0028,NON_HERMITIAN_SPECTRUM_STABLE,0.1464
26,67379475421397205909504.0000,0.007937,1.1296,0.0030,NON_HERMITIAN_SPECTRUM_STABLE,0.1577
27,67379475421397205909504.0000,0.007874,1.1346,0.0033,NON_HERMITIAN_SPECTRUM_STABLE,0.1693
28,67379484428596460650496.0000,0.007812,1.1395,0.0035,NON_HERMITIAN_SPECTRUM_STABLE,0.1813
29,67379484428596460650496.0000,0.007752,1.1445,0.0038,NON_HERMITIAN_SPECTRUM_STABLE,0.1935
30,67379484428596460650496.0000,0.007692,1.1494,0.0040,NON_HERMITIAN_SPECTRUM_STABLE,0.2061
31,67379484428596460650496.0000,0.007634,1.1544,0.0043,NON_HERMITIAN_SPECTRUM_STABLE,0.2190
32,67379484428596460650496.0000,0.007576,1.1593,0.0046,NON_HERMITIAN_SPECTRUM_STABLE,0.2321
33,67379484428596460650496.0000,0.007519,1.1643,0.0049,NON_HERMITIAN_SPECTRUM_STABLE,0.2455
34,67379484428596460650496.0000,0.007463,1.1692,0.0052,NON_HERMITIAN_SPECTRUM_STABLE,0.2591
35,67379484428596460650496.0000,0.007407,1.1741,0.0055,NON_HERMITIAN_SPECTRUM_STABLE,0.2730
36,67379484428596460650496.0000,0.007353,1.1790,0.0058,NON_HERMITIAN_SPECTRUM_STABLE,0.2871
37,67379488932196088020992.0000,0.007299,1.1839,0.0062,NON_HERMITIAN_SPECTRUM_STABLE,0.3014
38,67379488932196088020992.0000,0.007246,1.1889,0.0065,NON_HERMITIAN_SPECTRUM_STABLE,0.3159
39,67379488932196088020992.0000,0.007194,1.1938,0.0068,NON_HERMITIAN_SPECTRUM_STABLE,0.3306
40,67379488932196088020992.0000,0.007143,1.1987,0.0072,NON_HERMITIAN_SPECTRUM_STABLE,0.3455
41,67379488932196088020992.0000,0.007092,1.2036,0.0076,NON_HERMITIAN_SPECTRUM_STABLE,0.3605
42,67379488932196088020992.0000,0.007042,1.2085,0.0079,NON_HERMITIAN_SPECTRUM_STABLE,0.3757
43,67379488932196088020992.0000,0.006993,1.2133,0.0083,NON_HERMITIAN_SPECTRUM_STABLE,0.3909
44,67379488932196088020992.0000,0.006944,1.2182,0.0087,NON_HERMITIAN_SPECTRUM_STABLE,0.4063
45,67379497939395342761984.0000,0.006897,1.2231,0.0091,NON_HERMITIAN_SPECTRUM_STABLE,0.4218
46,67379497939395342761984.0000,0.006849,1.2280,0.0095,NON_HERMITIAN_SPECTRUM_STABLE,0.4373
47,67379497939395342761984.0000,0.006803,1.2328,0.0099,NON_HERMITIAN_SPECTRUM_STABLE,0.4529
48,67379497939395342761984.0000,0.006757,1.2377,0.0104,NON_HERMITIAN_SPECTRUM_STABLE,0.4686
49,67379497939395342761984.0000,0.006711,1.2426,0.0108,NON_HERMITIAN_SPECTRUM_STABLE,0.4843
50,67379497939395342761984.0000,0.006667,1.2474,0.0112,NON_HERMITIAN_SPECTRUM_STABLE,0.5000
51,67379497939395342761984.0000,0.006623,1.2522,0.0117,NON_HERMITIAN_SPECTRUM_STABLE,0.5157
52,67379497939395342761984.0000,0.006579,1.2571,0.0121,NON_HERMITIAN_SPECTRUM_STABLE,0.5314
53,67379506946594597502976.0000,0.006536,1.2619,0.0126,NON_HERMITIAN_SPECTRUM_STABLE,0.5471
54,67379506946594597502976.0000,0.006494,1.2667,0.0131,NON_HERMITIAN_SPECTRUM_STABLE,0.5627
55,67379506946594597502976.0000,0.006452,1.2715,0.0136,NON_HERMITIAN_SPECTRUM_STABLE,0.5782
56,67379506946594597502976.0000,0.006410,1.2764,0.0141,NON_HERMITIAN_SPECTRUM_STABLE,0.5937
57,67379506946594597502976.0000,0.006369,1.2812,0.0146,NON_HERMITIAN_SPECTRUM_STABLE,0.6091
58,67379506946594597502976.0000,0.006329,1.2860,0.0151,NON_HERMITIAN_SPECTRUM_STABLE,0.6243
59,67379506946594597502976.0000,0.006289,1.2907,0.0156,NON_HERMITIAN_SPECTRUM_STABLE,0.6395
60,67379506946594597502976.0000,0.006250,1.2955,0.0162,NON_HERMITIAN_SPECTRUM_STABLE,0.6545
61,67379515953793852243968.0000,0.006211,1.3003,0.0167,NON_HERMITIAN_SPECTRUM_STABLE,0.6694
62,67379515953793852243968.0000,0.006173,1.3051,0.0172,NON_HERMITIAN_SPECTRUM_STABLE,0.6841
63,67379515953793852243968.0000,0.006135,1.3098,0.0178,NON_HERMITIAN_SPECTRUM_STABLE,0.6986
64,67379515953793852243968.0000,0.006098,1.3146,0.0184,NON_HERMITIAN_SPECTRUM_STABLE,0.7129
65,67379515953793852243968.0000,0.006061,1.3193,0.0190,NON_HERMITIAN_SPECTRUM_STABLE,0.7270
66,67379515953793852243968.0000,0.006024,1.3240,0.0195,NON_HERMITIAN_SPECTRUM_STABLE,0.7409
67,67379515953793852243968.0000,0.005988,1.3288,0.0201,NON_HERMITIAN_SPECTRUM_STABLE,0.7545
68,67379515953793852243968.0000,0.005952,1.3335,0.0207,NON_HERMITIAN_SPECTRUM_STABLE,0.7679
69,67379520457393479614464.0000,0.005917,1.3382,0.0213,NON_HERMITIAN_SPECTRUM_STABLE,0.7810
70,67379520457393479614464.0000,0.005882,1.3429,0.0220,NON_HERMITIAN_SPECTRUM_STABLE,0.7939
71,67379520457393479614464.0000,0.005848,1.3476,0.0226,NON_HERMITIAN_SPECTRUM_STABLE,0.8065
72,67379520457393479614464.0000,0.005814,1.3523,0.0232,NON_HERMITIAN_SPECTRUM_STABLE,0.8187
73,67379520457393479614464.0000,0.005780,1.3569,0.0239,NON_HERMITIAN_SPECTRUM_STABLE,0.8307
74,67379520457393479614464.0000,0.005747,1.3616,0.0245,NON_HERMITIAN_SPECTRUM_STABLE,0.8423
75,67379520457393479614464.0000,0.005714,1.3663,0.0252,NON_HERMITIAN_SPECTRUM_STABLE,0.8536
76,67379520457393479614464.0000,0.005682,1.3709,0.0259,NON_HERMITIAN_SPECTRUM_STABLE,0.8645
77,67379520457393479614464.0000,0.005650,1.3756,0.0266,NON_HERMITIAN_SPECTRUM_STABLE,0.8751
78,67379520457393479614464.0000,0.005618,1.3802,0.0273,NON_HERMITIAN_SPECTRUM_STABLE,0.8853
79,67379529464592734355456.0000,0.005587,1.3848,0.0280,NON_HERMITIAN_SPECTRUM_STABLE,0.8951
80,67379529464592734355456.0000,0.005556,1.3894,0.0287,NON_HERMITIAN_SPECTRUM_STABLE,0.9045
81,67379529464592734355456.0000,0.005525,1.3940,0.0294,NON_HERMITIAN_SPECTRUM_STABLE,0.9135
82,67379529464592734355456.0000,0.005495,1.3986,0.0301,NON_HERMITIAN_SPECTRUM_STABLE,0.9222
83,67379529464592734355456.0000,0.005464,1.4032,0.0308,NON_HERMITIAN_SPECTRUM_STABLE,0.9304
84,67379529464592734355456.0000,0.005435,1.4078,0.0316,NON_HERMITIAN_SPECTRUM_STABLE,0.9382
85,67379529464592734355456.0000,0.005405,1.4123,0.0323,NON_HERMITIAN_SPECTRUM_STABLE,0.9455
86,67379529464592734355456.0000,0.005376,1.4169,0.0331,NON_HERMITIAN_SPECTRUM_STABLE,0.9524
87,67379529464592734355456.0000,0.005348,1.4214,0.0339,NON_HERMITIAN_SPECTRUM_STABLE,0.9589
88,67379529464592734355456.0000,0.005319,1.4259,0.0346,NON_HERMITIAN_SPECTRUM_STABLE,0.9649
89,67379529464592734355456.0000,0.005291,1.4305,0.0354,NON_HERMITIAN_SPECTRUM_STABLE,0.9704
90,67379529464592734355456.0000,0.005263,1.4350,0.0362,NON_HERMITIAN_SPECTRUM_STABLE,0.9755
91,67379529464592734355456.0000,0.005236,1.4395,0.0370,NON_HERMITIAN_SPECTRUM_STABLE,0.9801
92,67379529464592734355456.0000,0.005208,1.4439,0.0378,NON_HERMITIAN_SPECTRUM_STABLE,0.9843
93,67379529464592734355456.0000,0.005181,1.4484,0.0387,NON_HERMITIAN_SPECTRUM_STABLE,0.9880
94,67379529464592734355456.0000,0.005155,1.4529,0.0395,NON_HERMITIAN_SPECTRUM_STABLE,0.9911
95,67379529464592734355456.0000,0.005128,1.4573,0.0403,NON_HERMITIAN_SPECTRUM_STABLE,0.9938
96,67379529464592734355456.0000,0.005102,1.4618,0.0412,NON_HERMITIAN_SPECTRUM_STABLE,0.9961
97,67379529464592734355456.0000,0.005076,1.4662,0.0420,NON_HERMITIAN_SPECTRUM_STABLE,0.9978
98,67379529464592734355456.0000,0.005051,1.4706,0.0429,NON_HERMITIAN_SPECTRUM_STABLE,0.9990
99,67379529464592734355456.0000,0.005025,1.4750,0.0438,NON_HERMITIAN_SPECTRUM_STABLE,0.9998
100,67379529464592734355456.0000,0.005000,1.4794,0.0447,NON_HERMITIAN_SPECTRUM_STABLE,1.0000
