Epoch,Loss,Learning_Rate,L1_Scale,L2_Scale,Non_Abelian_H,Landauer_Status
1,67379466414197951168512.0000,0.009901,1.0050,0.0000,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
2,67379466414197951168512.0000,0.009804,1.0100,0.0000,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
3,67379466414197951168512.0000,0.009709,1.0150,0.0000,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
4,67379466414197951168512.0000,0.009615,1.0200,0.0001,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
5,67379466414197951168512.0000,0.009524,1.0250,0.0001,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
6,67379466414197951168512.0000,0.009434,1.0300,0.0002,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
7,67379466414197951168512.0000,0.009346,1.0350,0.0002,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
8,67379466414197951168512.0000,0.009259,1.0400,0.0003,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
9,67379466414197951168512.0000,0.009174,1.0450,0.0004,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
10,67379466414197951168512.0000,0.009091,1.0500,0.0004,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
11,67379466414197951168512.0000,0.009009,1.0550,0.0005,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
12,67379466414197951168512.0000,0.008929,1.0600,0.0006,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
13,67379466414197951168512.0000,0.008850,1.0650,0.0008,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
14,67379466414197951168512.0000,0.008772,1.0699,0.0009,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
15,67379466414197951168512.0000,0.008696,1.0749,0.0010,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
16,67379475421397205909504.0000,0.008621,1.0799,0.0012,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
17,67379475421397205909504.0000,0.008547,1.0849,0.0013,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
18,67379475421397205909504.0000,0.008475,1.0899,0.0015,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
19,67379475421397205909504.0000,0.008403,1.0949,0.0016,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
20,67379475421397205909504.0000,0.008333,1.0998,0.0018,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
21,67379475421397205909504.0000,0.008264,1.1048,0.0020,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
22,67379475421397205909504.0000,0.008197,1.1098,0.0022,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
23,67379475421397205909504.0000,0.008130,1.1147,0.0024,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
24,67379475421397205909504.0000,0.008065,1.1197,0.0026,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
25,67379475421397205909504.0000,0.008000,1.1247,0.0028,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
26,67379475421397205909504.0000,0.007937,1.1296,0.0030,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
27,67379475421397205909504.0000,0.007874,1.1346,0.0033,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
28,67379484428596460650496.0000,0.007812,1.1395,0.0035,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
29,67379484428596460650496.0000,0.007752,1.1445,0.0038,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
30,67379484428596460650496.0000,0.007692,1.1494,0.0040,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
31,67379484428596460650496.0000,0.007634,1.1544,0.0043,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
32,67379484428596460650496.0000,0.007576,1.1593,0.0046,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
33,67379484428596460650496.0000,0.007519,1.1643,0.0049,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
34,67379484428596460650496.0000,0.007463,1.1692,0.0052,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
35,67379484428596460650496.0000,0.007407,1.1741,0.0055,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
36,67379484428596460650496.0000,0.007353,1.1790,0.0058,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
37,67379488932196088020992.0000,0.007299,1.1839,0.0062,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
38,67379488932196088020992.0000,0.007246,1.1889,0.0065,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
39,67379488932196088020992.0000,0.007194,1.1938,0.0068,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
40,67379488932196088020992.0000,0.007143,1.1987,0.0072,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
41,67379488932196088020992.0000,0.007092,1.2036,0.0076,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
42,67379488932196088020992.0000,0.007042,1.2085,0.0079,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
43,67379488932196088020992.0000,0.006993,1.2133,0.0083,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
44,67379488932196088020992.0000,0.006944,1.2182,0.0087,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
45,67379497939395342761984.0000,0.006897,1.2231,0.0091,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
46,67379497939395342761984.0000,0.006849,1.2280,0.0095,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
47,67379497939395342761984.0000,0.006803,1.2328,0.0099,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
48,67379497939395342761984.0000,0.006757,1.2377,0.0104,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
49,67379497939395342761984.0000,0.006711,1.2426,0.0108,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
50,67379497939395342761984.0000,0.006667,1.2474,0.0112,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
51,67379497939395342761984.0000,0.006623,1.2522,0.0117,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
52,67379497939395342761984.0000,0.006579,1.2571,0.0121,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
53,67379506946594597502976.0000,0.006536,1.2619,0.0126,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
54,67379506946594597502976.0000,0.006494,1.2667,0.0131,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
55,67379506946594597502976.0000,0.006452,1.2715,0.0136,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
56,67379506946594597502976.0000,0.006410,1.2764,0.0141,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
57,67379506946594597502976.0000,0.006369,1.2812,0.0146,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
58,67379506946594597502976.0000,0.006329,1.2860,0.0151,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
59,67379506946594597502976.0000,0.006289,1.2907,0.0156,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
60,67379506946594597502976.0000,0.006250,1.2955,0.0162,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
61,67379515953793852243968.0000,0.006211,1.3003,0.0167,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
62,67379515953793852243968.0000,0.006173,1.3051,0.0172,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
63,67379515953793852243968.0000,0.006135,1.3098,0.0178,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
64,67379515953793852243968.0000,0.006098,1.3146,0.0184,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
65,67379515953793852243968.0000,0.006061,1.3193,0.0190,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
66,67379515953793852243968.0000,0.006024,1.3240,0.0195,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
67,67379515953793852243968.0000,0.005988,1.3288,0.0201,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
68,67379515953793852243968.0000,0.005952,1.3335,0.0207,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
69,67379520457393479614464.0000,0.005917,1.3382,0.0213,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
70,67379520457393479614464.0000,0.005882,1.3429,0.0220,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
71,67379520457393479614464.0000,0.005848,1.3476,0.0226,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
72,67379520457393479614464.0000,0.005814,1.3523,0.0232,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
73,67379520457393479614464.0000,0.005780,1.3569,0.0239,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
74,67379520457393479614464.0000,0.005747,1.3616,0.0245,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
75,67379520457393479614464.0000,0.005714,1.3663,0.0252,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
76,67379520457393479614464.0000,0.005682,1.3709,0.0259,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
77,67379520457393479614464.0000,0.005650,1.3756,0.0266,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
78,67379520457393479614464.0000,0.005618,1.3802,0.0273,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
79,67379529464592734355456.0000,0.005587,1.3848,0.0280,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
80,67379529464592734355456.0000,0.005556,1.3894,0.0287,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
